,"Time,s","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,",Fall
0,0.0,7.249,7.406,-11.23,0.5102,-0.3873,0.6064,0.0
1,0.01,12.89,15.04,-3.425,0.5102,-0.3873,0.6064,0.0
2,0.02,12.08,19.52,2.854,0.5101,-0.3874,0.6063,0.0
3,0.03,7.249,14.14,-12.75,0.51,-0.3874,0.6063,0.0
4,0.04,2.819,3.815,-17.5,0.5099,-0.3875,0.6062,0.0
5,0.05,-0.4027,5.386,-13.13,0.5098,-0.3877,0.6061,0.0
6,0.06,-6.846,4.488,-3.425,0.5097,-0.3877,0.606,0.0
7,0.07,-10.87,2.917,-15.6,0.5097,-0.3879,0.6058,0.0
8,0.08,-0.8054,5.386,-11.23,0.5096,-0.3881,0.6056,0.0
9,0.09,-0.4027,4.937,-15.6,0.5094,-0.3882,0.6055,0.0
10,0.1,2.416,5.835,-7.23,0.5093,-0.3884,0.6053,0.0
11,0.11,2.416,0.0,-4.947,0.5091,-0.3886,0.6051,0.0
12,0.12,10.87,6.284,0.0,0.509,-0.3888,0.605,0.0
13,0.13,10.07,-0.4488,-9.323,0.5089,-0.3889,0.6048,0.0
14,0.14,9.665,-5.386,-8.372,0.5088,-0.3891,0.6047,0.0
15,0.15,0.8054,-12.12,-21.88,0.5086,-0.3892,0.6045,0.0
16,0.16,2.819,-7.406,-2.854,0.5085,-0.3893,0.6044,0.0
17,0.17,0.4027,-3.366,-6.849,0.5084,-0.3895,0.6042,0.0
18,0.18,0.0,-5.386,-9.703,0.5083,-0.3897,0.6041,0.0
19,0.19,-9.262,-8.752,-5.327,0.5081,-0.3898,0.604,0.0
20,0.2,-7.249,-6.733,0.0,0.508,-0.39,0.6038,0.0
21,0.21,-0.8054,0.8977,0.9513,0.5079,-0.3902,0.6037,0.0
22,0.22,-11.28,-6.733,-7.23,0.5078,-0.3903,0.6035,0.0
23,0.23,-12.08,2.469,-3.996,0.5078,-0.3905,0.6033,0.0
24,0.24,-13.69,-3.366,2.854,0.5077,-0.3907,0.6032,0.0
25,0.25,-16.11,-8.303,-0.9513,0.5077,-0.3909,0.603,0.0
26,0.26,-10.07,-0.4488,0.0,0.5078,-0.3911,0.6028,0.0
27,0.27,-9.262,-9.201,0.5708,0.5079,-0.3914,0.6026,0.0
28,0.28,6.443,0.4488,3.996,0.508,-0.3915,0.6023,0.0
29,0.29,12.08,4.488,0.0,0.5081,-0.3918,0.602,0.0
30,0.3,6.041,1.571,-4.947,0.5081,-0.3919,0.6018,0.0
31,0.31,14.09,8.303,7.801,0.5082,-0.3921,0.6015,0.0
32,0.32,16.91,7.855,-8.372,0.5082,-0.3922,0.6012,0.0
33,0.33,15.3,0.0,1.903,0.5082,-0.3925,0.6009,0.0
34,0.34,6.443,-11.67,-3.996,0.5082,-0.3927,0.6006,0.0
35,0.35,4.832,-15.04,-2.473,0.5082,-0.393,0.6003,0.0
36,0.36,4.43,-17.5,2.473,0.5083,-0.3932,0.6001,0.0
